ingredient_id,supplier_id,ingredient_name,current_stock,unit,reorder_level
1,9,Ingredient_1,254,Kg,20
2,2,Ingredient_2,168,Kg,20
3,18,Ingredient_3,242,Kg,20
4,18,Ingredient_4,152,Kg,20
5,12,Ingredient_5,277,Kg,20
6,17,Ingredient_6,150,Kg,20
7,5,Ingredient_7,139,Kg,20
8,1,Ingredient_8,295,Kg,20
9,16,Ingredient_9,61,Kg,20
10,12,Ingredient_10,87,Kg,20
11,8,Ingredient_11,215,Kg,20
12,3,Ingredient_12,24,Kg,20
13,20,Ingredient_13,78,Kg,20
14,4,Ingredient_14,40,Kg,20
15,18,Ingredient_15,266,Kg,20
16,7,Ingredient_16,294,Kg,20
17,6,Ingredient_17,142,Kg,20
18,20,Ingredient_18,197,Kg,20
19,5,Ingredient_19,100,Kg,20
20,6,Ingredient_20,280,Kg,20
21,1,Ingredient_21,189,Kg,20
22,8,Ingredient_22,236,Kg,20
23,16,Ingredient_23,119,Kg,20
24,12,Ingredient_24,209,Kg,20
25,15,Ingredient_25,118,Kg,20
26,11,Ingredient_26,23,Kg,20
27,4,Ingredient_27,17,Kg,20
28,3,Ingredient_28,215,Kg,20
29,12,Ingredient_29,40,Kg,20
30,8,Ingredient_30,298,Kg,20
31,13,Ingredient_31,219,Kg,20
32,13,Ingredient_32,124,Kg,20
33,1,Ingredient_33,138,Kg,20
34,1,Ingredient_34,144,Kg,20
35,14,Ingredient_35,133,Kg,20
36,8,Ingredient_36,191,Kg,20
37,7,Ingredient_37,176,Kg,20
38,14,Ingredient_38,152,Kg,20
39,10,Ingredient_39,265,Kg,20
40,7,Ingredient_40,90,Kg,20
41,16,Ingredient_41,146,Kg,20
42,5,Ingredient_42,163,Kg,20
43,10,Ingredient_43,55,Kg,20
44,11,Ingredient_44,12,Kg,20
45,16,Ingredient_45,137,Kg,20
46,6,Ingredient_46,173,Kg,20
47,20,Ingredient_47,241,Kg,20
48,7,Ingredient_48,36,Kg,20
49,7,Ingredient_49,194,Kg,20
50,2,Ingredient_50,234,Kg,20
51,6,Ingredient_51,232,Kg,20
52,5,Ingredient_52,162,Kg,20
53,1,Ingredient_53,67,Kg,20
54,5,Ingredient_54,14,Kg,20
55,5,Ingredient_55,164,Kg,20
56,5,Ingredient_56,267,Kg,20
57,12,Ingredient_57,59,Kg,20
58,6,Ingredient_58,247,Kg,20
59,13,Ingredient_59,56,Kg,20
60,14,Ingredient_60,183,Kg,20
61,13,Ingredient_61,181,Kg,20
62,2,Ingredient_62,130,Kg,20
63,7,Ingredient_63,17,Kg,20
64,2,Ingredient_64,79,Kg,20
65,17,Ingredient_65,128,Kg,20
66,19,Ingredient_66,230,Kg,20
67,4,Ingredient_67,20,Kg,20
68,2,Ingredient_68,172,Kg,20
69,3,Ingredient_69,66,Kg,20
70,4,Ingredient_70,259,Kg,20
71,5,Ingredient_71,279,Kg,20
72,14,Ingredient_72,11,Kg,20
73,6,Ingredient_73,124,Kg,20
74,18,Ingredient_74,85,Kg,20
75,18,Ingredient_75,266,Kg,20
76,4,Ingredient_76,281,Kg,20
77,12,Ingredient_77,264,Kg,20
78,3,Ingredient_78,188,Kg,20
79,7,Ingredient_79,124,Kg,20
80,3,Ingredient_80,149,Kg,20
