item_id,category_id,item_name,cost_price,selling_price,food_type,available
1,3,Cold Coffee 1,66,280,Veg,Yes
2,5,Mishti Doi 2,230,417,Veg,Yes
3,7,Chicken Chowmein 3,87,282,Non Veg,Yes
4,6,Mishti Doi 4,121,209,Veg,Yes
5,3,Chicken Chowmein 5,181,305,Non Veg,Yes
6,5,Mishti Doi 6,101,145,Veg,Yes
7,2,Chicken Biryani 7,185,375,Non Veg,Yes
8,7,Mutton Kosha 8,52,137,Non Veg,Yes
9,7,Masala Dosa 9,167,384,Veg,Yes
10,5,Fish Fry 10,194,372,Non Veg,Yes
11,2,Cold Coffee 11,76,282,Veg,Yes
12,3,Chicken Chaap 12,75,218,Non Veg,Yes
13,7,Cold Coffee 13,62,102,Veg,Yes
14,8,Mishti Doi 14,162,240,Veg,Yes
15,6,Chicken Chaap 15,40,78,Non Veg,Yes
16,7,Mishti Doi 16,76,178,Veg,Yes
17,1,Mutton Biryani 17,171,382,Non Veg,Yes
18,6,Paneer Butter Masala 18,56,198,Veg,Yes
19,3,Chicken Biryani 19,225,297,Non Veg,Yes
20,5,Paneer Butter Masala 20,41,184,Veg,Yes
21,6,Rosogolla 21,185,265,Veg,Yes
22,2,Masala Dosa 22,178,290,Veg,Yes
23,8,Burger 23,149,315,Non Veg,Yes
24,3,Mutton Kosha 24,142,327,Non Veg,Yes
25,2,Pizza 25,247,292,Non Veg,Yes
26,6,Lassi 26,195,393,Veg,Yes
27,7,Veg Fried Rice 27,134,287,Veg,Yes
28,3,Cold Coffee 28,116,233,Veg,Yes
29,1,Burger 29,88,174,Non Veg,Yes
30,8,Cold Coffee 30,216,267,Veg,Yes
31,6,Fish Fry 31,182,360,Non Veg,Yes
32,6,Paneer Butter Masala 32,175,266,Veg,Yes
33,8,Pizza 33,141,237,Non Veg,Yes
34,4,Mutton Biryani 34,86,167,Non Veg,Yes
35,2,Burger 35,96,190,Non Veg,Yes
36,2,Cold Coffee 36,88,253,Veg,Yes
37,5,Cold Coffee 37,221,376,Veg,Yes
38,8,Chicken Chaap 38,97,265,Non Veg,Yes
39,2,Pizza 39,228,389,Non Veg,Yes
40,2,Mutton Kosha 40,144,347,Non Veg,Yes
41,8,Mutton Biryani 41,74,232,Non Veg,Yes
42,2,Burger 42,200,414,Non Veg,Yes
43,2,Burger 43,157,362,Non Veg,Yes
44,3,Paneer Butter Masala 44,89,263,Veg,Yes
45,2,Masala Dosa 45,75,200,Veg,Yes
46,1,Rosogolla 46,143,233,Veg,Yes
47,6,Chicken Biryani 47,50,83,Non Veg,Yes
48,4,Lassi 48,157,263,Veg,Yes
49,3,Mutton Biryani 49,149,201,Non Veg,Yes
50,4,Pizza 50,184,243,Non Veg,Yes
51,6,Mutton Kosha 51,83,206,Non Veg,Yes
52,6,Lassi 52,245,463,Veg,Yes
53,1,Cold Coffee 53,105,166,Veg,Yes
54,6,Chicken Chaap 54,171,389,Non Veg,Yes
55,6,Burger 55,224,379,Non Veg,Yes
56,6,Chicken Biryani 56,65,186,Non Veg,Yes
57,6,Burger 57,245,429,Non Veg,Yes
58,1,Mutton Biryani 58,212,304,Non Veg,Yes
59,6,Veg Fried Rice 59,89,296,Veg,Yes
60,1,Masala Dosa 60,188,330,Veg,Yes
61,1,Mutton Biryani 61,164,222,Non Veg,Yes
62,5,Mutton Biryani 62,87,155,Non Veg,Yes
63,5,Burger 63,215,416,Non Veg,Yes
64,3,Paneer Butter Masala 64,190,284,Veg,Yes
65,5,Burger 65,153,186,Non Veg,Yes
66,6,Chicken Biryani 66,78,232,Non Veg,Yes
67,8,Burger 67,48,87,Non Veg,Yes
68,3,Mutton Biryani 68,198,393,Non Veg,Yes
69,7,Cold Coffee 69,161,231,Veg,Yes
70,8,Lassi 70,140,228,Veg,Yes
71,2,Mishti Doi 71,132,246,Veg,Yes
