order_id,customer_id,employee_id,order_date,order_time,order_type,total_bill,order_status
1,91,1,2026-06-30,13:00:00,Takeaway,567,Completed
2,6,11,2026-03-10,13:00:00,Takeaway,3537,Completed
3,217,11,2026-04-13,13:00:00,Dine-In,1930,Completed
4,312,17,2026-03-03,13:00:00,Delivery,1681,Completed
5,432,20,2026-01-23,13:00:00,Delivery,1221,Completed
6,331,15,2026-06-25,13:00:00,Takeaway,3122,Completed
7,280,13,2026-06-01,13:00:00,Takeaway,1185,Completed
8,33,13,2026-07-02,13:00:00,Delivery,2975,Completed
9,392,9,2026-06-06,13:00:00,Delivery,1859,Completed
10,114,5,2026-05-27,13:00:00,Dine-In,648,Completed
11,188,8,2026-07-28,13:00:00,Dine-In,1922,Completed
12,186,27,2026-04-08,13:00:00,Dine-In,1382,Completed
13,340,26,2026-04-02,13:00:00,Takeaway,1934,Completed
14,325,16,2026-04-26,13:00:00,Takeaway,1667,Completed
15,339,8,2026-05-14,13:00:00,Dine-In,1734,Completed
16,303,6,2026-01-15,13:00:00,Takeaway,1211,Completed
17,269,21,2026-01-24,13:00:00,Delivery,1466,Completed
18,368,15,2026-01-12,13:00:00,Delivery,727,Completed
19,123,13,2026-04-01,13:00:00,Dine-In,3692,Completed
20,41,25,2026-01-19,13:00:00,Dine-In,2040,Completed
21,289,15,2026-06-01,13:00:00,Takeaway,1879,Completed
22,70,17,2026-05-06,13:00:00,Takeaway,565,Completed
23,151,18,2026-06-24,13:00:00,Dine-In,1298,Completed
24,419,1,2026-05-27,13:00:00,Delivery,403,Completed
25,422,22,2026-01-15,13:00:00,Delivery,467,Completed
26,72,14,2026-05-30,13:00:00,Takeaway,1674,Completed
27,4,6,2026-05-13,13:00:00,Takeaway,2101,Completed
28,454,14,2026-05-11,13:00:00,Delivery,2147,Completed
29,104,5,2026-03-20,13:00:00,Takeaway,1329,Completed
30,299,5,2026-07-01,13:00:00,Delivery,1674,Completed
31,161,1,2026-07-06,13:00:00,Takeaway,2060,Completed
32,108,26,2026-07-01,13:00:00,Dine-In,2800,Completed
33,440,21,2026-04-22,13:00:00,Delivery,581,Completed
34,8,30,2026-02-16,13:00:00,Delivery,2214,Completed
35,109,18,2026-07-25,13:00:00,Dine-In,1752,Completed
36,104,26,2026-01-25,13:00:00,Takeaway,1272,Completed
37,218,5,2026-06-25,13:00:00,Dine-In,597,Completed
38,389,8,2026-03-17,13:00:00,Takeaway,2153,Completed
39,485,26,2026-02-08,13:00:00,Dine-In,1805,Completed
40,238,5,2026-02-20,13:00:00,Dine-In,2813,Completed
41,481,17,2026-06-17,13:00:00,Dine-In,2424,Completed
42,443,10,2026-03-13,13:00:00,Dine-In,1750,Completed
43,298,20,2026-01-09,13:00:00,Delivery,852,Completed
44,89,11,2026-01-13,13:00:00,Dine-In,1944,Completed
45,426,10,2026-07-21,13:00:00,Delivery,1157,Completed
46,83,20,2026-07-21,13:00:00,Dine-In,1331,Completed
47,357,5,2026-06-15,13:00:00,Delivery,2283,Completed
48,87,22,2026-04-03,13:00:00,Takeaway,1067,Completed
49,134,4,2026-02-08,13:00:00,Takeaway,206,Completed
50,278,4,2026-05-18,13:00:00,Delivery,1356,Completed
51,487,7,2026-04-04,13:00:00,Delivery,1833,Completed
52,8,4,2026-01-25,13:00:00,Delivery,1623,Completed
53,385,6,2026-01-23,13:00:00,Takeaway,888,Completed
54,292,29,2026-03-16,13:00:00,Dine-In,1105,Completed
55,397,26,2026-06-02,13:00:00,Dine-In,1752,Completed
56,396,23,2026-06-08,13:00:00,Takeaway,813,Completed
57,163,30,2026-01-03,13:00:00,Dine-In,890,Completed
58,409,12,2026-02-08,13:00:00,Delivery,420,Completed
59,500,3,2026-07-01,13:00:00,Delivery,1038,Completed
60,385,20,2026-01-18,13:00:00,Dine-In,2142,Completed
61,84,26,2026-05-30,13:00:00,Takeaway,1871,Completed
62,239,27,2026-07-10,13:00:00,Takeaway,1803,Completed
63,496,26,2026-01-18,13:00:00,Delivery,1102,Completed
64,295,30,2026-05-07,13:00:00,Delivery,2862,Completed
65,208,3,2026-04-08,13:00:00,Delivery,1172,Completed
66,157,1,2026-07-22,13:00:00,Takeaway,1786,Completed
67,154,15,2026-06-04,13:00:00,Takeaway,1319,Completed
68,318,2,2026-04-30,13:00:00,Takeaway,1338,Completed
69,111,22,2026-01-31,13:00:00,Takeaway,1319,Completed
70,180,29,2026-02-27,13:00:00,Dine-In,2288,Completed
71,270,1,2026-04-11,13:00:00,Takeaway,555,Completed
72,181,22,2026-07-08,13:00:00,Delivery,1356,Completed
73,476,25,2026-02-04,13:00:00,Takeaway,2058,Completed
74,186,10,2026-03-17,13:00:00,Takeaway,2034,Completed
75,355,1,2026-04-04,13:00:00,Takeaway,918,Completed
76,385,17,2026-03-21,13:00:00,Dine-In,1593,Completed
77,71,1,2026-05-04,13:00:00,Takeaway,1438,Completed
78,302,21,2026-07-11,13:00:00,Delivery,1519,Completed
79,44,26,2026-06-16,13:00:00,Takeaway,2119,Completed
80,254,27,2026-05-28,13:00:00,Dine-In,842,Completed
81,158,24,2026-02-11,13:00:00,Delivery,2309,Completed
82,159,29,2026-03-11,13:00:00,Delivery,2470,Completed
83,202,11,2026-04-03,13:00:00,Takeaway,1479,Completed
84,82,25,2026-06-13,13:00:00,Delivery,1570,Completed
85,40,9,2026-07-12,13:00:00,Delivery,1415,Completed
86,231,25,2026-03-08,13:00:00,Delivery,978,Completed
87,309,12,2026-04-01,13:00:00,Delivery,956,Completed
88,365,4,2026-07-26,13:00:00,Delivery,2583,Completed
89,207,13,2026-07-18,13:00:00,Delivery,2164,Completed
90,377,17,2026-05-17,13:00:00,Dine-In,1455,Completed
91,258,1,2026-01-18,13:00:00,Takeaway,2572,Completed
92,114,22,2026-02-08,13:00:00,Dine-In,974,Completed
93,68,21,2026-03-15,13:00:00,Delivery,2057,Completed
94,110,29,2026-06-05,13:00:00,Delivery,596,Completed
95,12,23,2026-04-03,13:00:00,Dine-In,1963,Completed
