payment_id,order_id,payment_mode,amount,payment_status,payment_date
1,1,Card,567,Paid,2026-06-30
2,2,Card,3537,Paid,2026-03-10
3,3,Cash,1930,Paid,2026-04-13
4,4,Cash,1681,Paid,2026-03-03
5,5,Card,1221,Paid,2026-01-23
6,6,Card,3122,Paid,2026-06-25
7,7,Card,1185,Paid,2026-06-01
8,8,UPI,2975,Paid,2026-07-02
9,9,Wallet,1859,Paid,2026-06-06
10,10,UPI,648,Paid,2026-05-27
11,11,Card,1922,Paid,2026-07-28
12,12,Card,1382,Paid,2026-04-08
13,13,Cash,1934,Paid,2026-04-02
14,14,Wallet,1667,Paid,2026-04-26
15,15,Card,1734,Paid,2026-05-14
16,16,Wallet,1211,Paid,2026-01-15
17,17,Card,1466,Paid,2026-01-24
18,18,Card,727,Paid,2026-01-12
19,19,Card,3692,Paid,2026-04-01
20,20,Cash,2040,Paid,2026-01-19
21,21,Wallet,1879,Paid,2026-06-01
22,22,Cash,565,Paid,2026-05-06
23,23,Cash,1298,Paid,2026-06-24
24,24,Wallet,403,Paid,2026-05-27
25,25,Wallet,467,Paid,2026-01-15
26,26,UPI,1674,Paid,2026-05-30
27,27,Wallet,2101,Paid,2026-05-13
28,28,Card,2147,Paid,2026-05-11
29,29,Wallet,1329,Paid,2026-03-20
30,30,Cash,1674,Paid,2026-07-01
31,31,UPI,2060,Paid,2026-07-06
32,32,UPI,2800,Paid,2026-07-01
33,33,Wallet,581,Paid,2026-04-22
34,34,Card,2214,Paid,2026-02-16
35,35,Wallet,1752,Paid,2026-07-25
36,36,Wallet,1272,Paid,2026-01-25
37,37,Wallet,597,Paid,2026-06-25
38,38,UPI,2153,Paid,2026-03-17
39,39,Cash,1805,Paid,2026-02-08
40,40,UPI,2813,Paid,2026-02-20
41,41,Wallet,2424,Paid,2026-06-17
42,42,Card,1750,Paid,2026-03-13
43,43,Card,852,Paid,2026-01-09
44,44,Cash,1944,Paid,2026-01-13
45,45,Cash,1157,Paid,2026-07-21
46,46,Wallet,1331,Paid,2026-07-21
47,47,UPI,2283,Paid,2026-06-15
48,48,Card,1067,Paid,2026-04-03
49,49,Card,206,Paid,2026-02-08
50,50,Card,1356,Paid,2026-05-18
51,51,UPI,1833,Paid,2026-04-04
52,52,UPI,1623,Paid,2026-01-25
53,53,Cash,888,Paid,2026-01-23
54,54,UPI,1105,Paid,2026-03-16
55,55,UPI,1752,Paid,2026-06-02
56,56,UPI,813,Paid,2026-06-08
57,57,UPI,890,Paid,2026-01-03
58,58,Card,420,Paid,2026-02-08
59,59,Card,1038,Paid,2026-07-01
60,60,Card,2142,Paid,2026-01-18
61,61,Cash,1871,Paid,2026-05-30
62,62,Cash,1803,Paid,2026-07-10
63,63,UPI,1102,Paid,2026-01-18
64,64,Card,2862,Paid,2026-05-07
65,65,Wallet,1172,Paid,2026-04-08
66,66,Wallet,1786,Paid,2026-07-22
67,67,Wallet,1319,Paid,2026-06-04
68,68,UPI,1338,Paid,2026-04-30
69,69,UPI,1319,Paid,2026-01-31
70,70,UPI,2288,Paid,2026-02-27
71,71,Card,555,Paid,2026-04-11
72,72,Wallet,1356,Paid,2026-07-08
73,73,Card,2058,Paid,2026-02-04
74,74,Wallet,2034,Paid,2026-03-17
