purchase_id,supplier_id,ingredient_id,purchase_date,quantity,unit_cost,total_cost
1,1,7,2026-02-20,97,108,10476
2,9,56,2026-02-26,100,101,10100
3,7,34,2026-04-15,40,50,2000
4,4,73,2026-05-21,46,152,6992
5,20,22,2026-05-10,27,193,5211
6,10,79,2026-02-24,50,168,8400
7,13,56,2026-05-25,21,144,3024
8,8,8,2026-02-14,86,177,15222
9,13,25,2026-03-20,56,152,8512
10,8,13,2026-01-31,93,161,14973
11,9,13,2026-06-24,83,198,16434
12,16,30,2026-02-02,45,140,6300
13,10,5,2026-06-25,10,149,1490
14,16,72,2026-07-23,12,52,624
15,4,58,2026-03-18,45,168,7560
16,16,80,2026-02-06,51,174,8874
17,3,23,2026-05-07,69,91,6279
18,1,16,2026-04-22,42,127,5334
19,18,63,2026-01-18,36,125,4500
20,15,67,2026-03-21,65,114,7410
21,8,37,2026-01-18,58,112,6496
22,14,53,2026-04-24,76,46,3496
23,11,57,2026-06-30,61,34,2074
24,8,62,2026-05-16,56,89,4984
25,7,68,2026-06-09,17,157,2669
26,1,66,2026-01-10,83,105,8715
27,15,45,2026-03-16,94,91,8554
28,14,18,2026-03-28,20,143,2860
29,15,51,2026-03-22,40,32,1280
30,7,54,2026-07-16,82,130,10660
31,18,80,2026-06-27,82,173,14186
32,20,65,2026-05-03,35,69,2415
33,11,43,2026-06-24,17,42,714
34,1,29,2026-01-27,71,45,3195
35,10,20,2026-07-30,80,75,6000
36,20,50,2026-07-03,55,97,5335
37,12,8,2026-03-31,31,28,868
38,3,73,2026-06-01,65,55,3575
39,18,17,2026-05-25,39,80,3120
40,14,7,2026-03-29,44,89,3916
41,18,76,2026-07-22,35,32,1120
42,17,69,2026-03-24,67,155,10385
43,13,48,2026-07-03,76,63,4788
44,19,64,2026-04-26,80,87,6960
45,20,48,2026-07-07,27,53,1431
46,18,52,2026-04-06,18,151,2718
47,2,68,2026-03-08,40,159,6360
48,14,39,2026-01-31,19,32,608
49,16,41,2026-06-12,93,122,11346
50,5,2,2026-07-20,35,30,1050
51,16,4,2026-04-23,80,65,5200
52,7,25,2026-03-24,68,52,3536
53,16,53,2026-04-22,11,93,1023
54,4,52,2026-06-01,63,90,5670
55,15,59,2026-04-11,63,52,3276
56,4,25,2026-06-11,64,155,9920
57,6,15,2026-06-03,75,73,5475
58,20,79,2026-04-12,15,150,2250
59,18,61,2026-07-04,52,29,1508
60,14,72,2026-01-03,55,55,3025
61,8,3,2026-05-11,79,168,13272
62,9,16,2026-06-03,97,80,7760
63,3,23,2026-05-25,14,163,2282
64,12,16,2026-04-16,78,191,14898
65,12,64,2026-05-01,56,136,7616
66,9,12,2026-05-13,90,93,8370
67,19,58,2026-05-14,87,24,2088
68,9,60,2026-04-19,50,27,1350
69,12,5,2026-04-15,24,144,3456
70,12,67,2026-05-20,74,147,10878
71,12,27,2026-05-09,27,180,4860
72,20,45,2026-07-03,47,183,8601
73,19,17,2026-04-12,97,105,10185
74,6,67,2026-02-17,51,121,6171
75,9,14,2026-01-07,34,150,5100
76,12,4,2026-04-02,32,144,4608
77,16,49,2026-03-22,70,25,1750
78,20,2,2026-02-15,53,158,8374
79,20,12,2026-03-15,74,172,12728
80,5,77,2026-03-02,15,167,2505
81,19,60,2026-01-31,89,56,4984
82,6,17,2026-02-09,68,89,6052
83,20,8,2026-07-02,78,101,7878
84,18,10,2026-01-20,57,94,5358
85,9,12,2026-02-14,43,108,4644
86,19,62,2026-06-18,97,118,11446
87,11,3,2026-06-29,50,82,4100
88,4,68,2026-05-30,82,170,13940
89,4,2,2026-03-02,33,66,2178
90,19,25,2026-04-22,54,120,6480
91,13,22,2026-04-05,41,79,3239
92,9,4,2026-02-26,14,100,1400
93,15,40,2026-02-26,67,188,12596
94,6,54,2026-07-19,48,147,7056
95,10,33,2026-06-03,61,190,11590
96,14,66,2026-04-26,95,180,17100
97,3,64,2026-02-09,36,191,6876
98,13,59,2026-06-11,55,127,6985
99,19,29,2026-03-17,70,151,10570
100,11,65,2026-03-27,92,46,4232
101,17,2,2026-05-10,43,130,5590
102,5,79,2026-02-13,67,146,9782
103,9,77,2026-02-16,93,57,5301
104,8,18,2026-05-20,43,128,5504
105,8,68,2026-04-27,45,190,8550
106,1,12,2026-03-24,46,175,8050
107,8,34,2026-02-01,92,127,11684
108,17,52,2026-07-30,66,197,13002
109,14,42,2026-03-13,54,104,5616
110,8,2,2026-06-08,60,74,4440
111,14,33,2026-05-30,24,116,2784
112,12,73,2026-03-27,57,49,2793
113,18,20,2026-03-09,41,109,4469
114,16,10,2026-07-15,84,172,14448
115,16,66,2026-02-20,68,144,9792
116,18,68,2026-02-26,43,153,6579
117,2,57,2026-01-03,82,35,2870
118,10,79,2026-06-01,28,47,1316
119,16,59,2026-06-26,99,140,13860
120,16,46,2026-01-07,83,185,15355
121,13,57,2026-01-11,89,24,2136
122,11,63,2026-02-01,72,49,3528
123,2,47,2026-06-08,35,147,5145
124,16,25,2026-01-26,64,143,9152
125,16,60,2026-07-04,52,81,4212
126,3,6,2026-06-01,62,153,9486
127,8,67,2026-07-17,24,47,1128
128,13,68,2026-06-20,39,45,1755
129,15,54,2026-06-08,49,200,9800
130,11,28,2026-06-01,85,81,6885
131,2,27,2026-06-18,46,93,4278
132,15,51,2026-03-19,48,89,4272
133,15,79,2026-07-10,75,115,8625
134,14,18,2026-05-31,33,87,2871
135,8,11,2026-02-05,38,86,3268
136,16,20,2026-03-03,66,65,4290
137,19,57,2026-01-13,17,175,2975
138,3,26,2026-05-14,12,25,300
139,2,45,2026-02-08,21,28,588
140,12,9,2026-02-14,19,28,532
141,6,5,2026-04-15,39,57,2223
142,9,50,2026-03-25,84,53,4452
143,17,24,2026-07-16,100,159,15900
144,13,36,2026-01-05,21,143,3003
145,16,74,2026-03-10,55,115,6325
146,11,38,2026-05-05,16,181,2896
147,19,77,2026-01-17,33,136,4488
148,10,49,2026-02-01,18,178,3204
149,12,45,2026-02-07,12,188,2256
150,4,46,2026-07-11,32,171,5472
151,17,41,2026-07-18,88,120,10560
152,9,63,2026-04-06,65,125,8125
153,17,62,2026-05-30,47,148,6956
154,20,77,2026-04-01,12,120,1440
