supplier_id,supplier_name,contact_person,phone,city
1,Supplier_1,Contact_1,9668527117,Kolkata
2,Supplier_2,Contact_2,9923762133,Kolkata
3,Supplier_3,Contact_3,9196495034,Kolkata
4,Supplier_4,Contact_4,9484232877,Kolkata
5,Supplier_5,Contact_5,9974044406,Kolkata
6,Supplier_6,Contact_6,9488401091,Kolkata
7,Supplier_7,Contact_7,9554441313,Kolkata
8,Supplier_8,Contact_8,9469483152,Kolkata
9,Supplier_9,Contact_9,9678382744,Kolkata
10,Supplier_10,Contact_10,9830305554,Kolkata
11,Supplier_11,Contact_11,9731885265,Kolkata
12,Supplier_12,Contact_12,9695921101,Kolkata
13,Supplier_13,Contact_13,9264722591,Kolkata
14,Supplier_14,Contact_14,9805834226,Kolkata
15,Supplier_15,Contact_15,9745929941,Kolkata
16,Supplier_16,Contact_16,9717373620,Kolkata
17,Supplier_17,Contact_17,9455236071,Kolkata
18,Supplier_18,Contact_18,9346963938,Kolkata
19,Supplier_19,Contact_19,9895731861,Kolkata
20,Supplier_20,Contact_20,9764298445,Kolkata
